year,canton,haildays_sum,lat_lon,haildays_per_point
2019,FR,1170,1583,0.7391029690461149
2020,FR,606,1583,0.3828174352495262
2021,FR,3712,1583,2.344914718888187
2022,FR,4169,1583,2.6336070751737206
2002,GE,2,238,0.008403361344537815
2003,GE,254,238,1.0672268907563025
2004,GE,86,238,0.36134453781512604
2005,GE,254,238,1.0672268907563025
2006,GE,3,238,0.012605042016806723
2007,GE,17,238,0.07142857142857142
2008,GE,9,238,0.037815126050420166
2009,GE,104,238,0.4369747899159664
2012,GE,29,238,0.12184873949579832
2013,GE,225,238,0.9453781512605042
2014,GE,25,238,0.10504201680672269
2015,GE,20,238,0.08403361344537816
2016,GE,40,238,0.16806722689075632
2017,GE,3,238,0.012605042016806723
2018,GE,89,238,0.3739495798319328
2019,GE,409,238,1.718487394957983
2020,GE,208,238,0.8739495798319328
2021,GE,25,238,0.10504201680672269
2022,GE,247,238,1.0378151260504203
2002,GL,77,599,0.1285475792988314
2003,GL,331,599,0.5525876460767947
2004,GL,227,599,0.3789649415692821
2005,GL,323,599,0.5392320534223706
2006,GL,803,599,1.340567612687813
2007,GL,236,599,0.39398998330550916
2008,GL,764,599,1.2754590984974958
2009,GL,438,599,0.7312186978297162
2010,GL,606,599,1.011686143572621
2011,GL,128,599,0.21368948247078465
2012,GL,330,599,0.5509181969949917
2013,GL,208,599,0.34724540901502504
2014,GL,71,599,0.11853088480801335
2015,GL,479,599,0.7996661101836394
2016,GL,108,599,0.18030050083472454
2017,GL,694,599,1.1585976627712855
2018,GL,151,599,0.25208681135225375
2019,GL,130,599,0.21702838063439064
2020,GL,181,599,0.3021702838063439
2021,GL,603,599,1.006677796327212
2022,GL,1817,599,3.03338898163606
2002,GR,720,6543,0.11004126547455295
2003,GR,1826,6543,0.2790768760507413
2004,GR,111,6543,0.016964695093993582
2005,GR,837,6543,0.1279229711141678
2006,GR,2160,6543,0.33012379642365886
2007,GR,1063,6543,0.1624637016659025
2008,GR,1587,6543,0.24254928931682715
2009,GR,999,6543,0.15268225584594222
2010,GR,694,6543,0.1060675531101941
2011,GR,155,6543,0.02368943909521626
2012,GR,587,6543,0.08971419837994804
2013,GR,395,6543,0.06036986092006725
2014,GR,249,6543,0.0380559376432829
2015,GR,1802,6543,0.27540883386825615
2016,GR,123,6543,0.01879871618523613
2017,GR,559,6543,0.08543481583371543
2018,GR,668,6543,0.10209384074583525
2019,GR,1147,6543,0.17530184930460033
2020,GR,350,6543,0.05349228182790769
2021,GR,3041,6543,0.4647715115390494
2022,GR,6281,6543,0.9599572061745377
2002,JU,1438,728,1.9752747252747254
2003,JU,1607,728,2.2074175824175826
2004,JU,990,728,1.35989010989011
2005,JU,1641,728,2.254120879120879
2006,JU,1578,728,2.1675824175824174
2007,JU,1507,728,2.0700549450549453
2008,JU,1246,728,1.7115384615384615
2009,JU,1373,728,1.885989010989011
2010,JU,414,728,0.5686813186813187
2011,JU,507,728,0.6964285714285714
2012,JU,940,728,1.2912087912087913
2013,JU,314,728,0.43131868131868134
2014,JU,274,728,0.37637362637362637
2015,JU,370,728,0.5082417582417582
2016,JU,232,728,0.31868131868131866
2017,JU,551,728,0.7568681318681318
2018,JU,411,728,0.5645604395604396
2019,JU,352,728,0.4835164835164835
2020,JU,229,728,0.31456043956043955
2021,JU,1125,728,1.5453296703296704
2022,JU,1861,728,2.556318681318681
2002,LU,807,1504,0.5365691489361702
2003,LU,2972,1504,1.976063829787234
2004,LU,1697,1504,1.1283244680851063
2005,LU,1650,1504,1.0970744680851063
2006,LU,3460,1504,2.300531914893617
2007,LU,1893,1504,1.2586436170212767
2008,LU,2127,1504,1.4142287234042554
2009,LU,4194,1504,2.788563829787234
2010,LU,2792,1504,1.8563829787234043
2011,LU,2043,1504,1.358377659574468
2012,LU,1096,1504,0.7287234042553191
2013,LU,1213,1504,0.8065159574468085
2014,LU,556,1504,0.3696808510638298
2015,LU,1135,1504,0.754654255319149
2016,LU,692,1504,0.4601063829787234
2017,LU,1994,1504,1.3257978723404256
2018,LU,402,1504,0.26728723404255317
2019,LU,350,1504,0.2327127659574468
2020,LU,790,1504,0.5252659574468085
2021,LU,4670,1504,3.1050531914893615
2022,LU,3979,1504,2.6456117021276597
2002,NE,1112,890,1.249438202247191
2003,NE,1671,890,1.8775280898876405
2004,NE,1430,890,1.6067415730337078
2005,NE,1456,890,1.6359550561797753
2006,NE,1707,890,1.9179775280898876
2007,NE,878,890,0.9865168539325843
2008,NE,1972,890,2.215730337078652
2009,NE,861,890,0.9674157303370786
2010,NE,722,890,0.8112359550561797
2011,NE,211,890,0.23707865168539327
2012,NE,223,890,0.250561797752809
2013,NE,765,890,0.8595505617977528
2014,NE,111,890,0.12471910112359551
2015,NE,643,890,0.7224719101123596
2016,NE,189,890,0.21235955056179776
2017,NE,468,890,0.5258426966292135
